x,y,n,label
35.23937902628425,-118.91196006849091,0,20.0
35.23940391812186,-118.9177983947099,0,20.0
35.23945946572134,-118.91726361633081,0,20.0
35.239483114339585,-118.91706113604975,0,20.0
35.23948412892237,-118.91676836799168,0,20.0
35.23949025331663,-118.91657957279021,0,20.0
35.23949820694742,-118.91816189406826,0,20.0
35.23950115115229,-118.91638186621309,0,20.0
35.2395489650064,-119.07382848034884,0,20.0
35.239549440967586,-119.09004357497437,0,20.0
35.23972925,-118.91506715000003,0,20.0
35.239820340377115,-118.91692614914018,0,20.0
35.2398299248515,-118.91780325822012,0,20.0
35.239831450000004,-118.91828980000001,0,20.0
35.23983970501381,-118.91846851932138,0,20.0
35.239851725835045,-118.91643482030334,0,20.0
35.23987545,-118.91672229999999,0,20.0
35.239877418286035,-118.91742323727566,0,20.0
35.23999545,-118.91756745000002,0,20.0
35.240124449999996,-118.91677924999998,0,20.0
35.240162000000005,-118.91765335,0,20.0
35.24029255000001,-118.91645405000001,0,20.0
35.24031510621937,-118.9171393035095,0,20.0
35.24032687480479,-118.91556287166328,0,20.0
35.24033712484453,-118.91540366506763,0,20.0
35.240368950000004,-118.91778665,0,20.0
35.240412599077054,-118.967032677893,0,20.0
35.240431503984084,-118.91566807517181,0,20.0
35.24054113998391,-118.91543165756013,0,20.0
35.24059482515441,-118.91468433599586,0,20.0
35.24071576829143,-119.07276073368793,0,20.0
35.240731,-118.91654795,0,20.0
35.240733518765445,-118.91828716398224,0,20.0
35.24074710396697,-118.91814520803163,0,20.0
35.24082475000001,-118.91481015000001,0,20.0
35.240840375156765,-118.91501963736717,0,20.0
35.2408478700438,-118.91543690476819,0,20.0
35.24085462274213,-118.91710436109352,0,20.0
35.240856224487466,-118.91519508340977,0,20.0
35.2409052,-118.91827960000002,0,20.0
35.24092225,-118.96450395000001,0,20.0
35.24092301265297,-118.91748021927944,0,20.0
35.240943792330874,-118.96639578321827,0,20.0
35.240950043380884,-118.91545613024164,0,20.0
35.2409586,-118.91485779999998,0,20.0
35.24097885714269,-118.91863466881507,0,20.0
35.241063600000004,-118.91811014999999,0,20.0
35.24109889999999,-118.91477889999997,0,20.0
35.24111807164783,-118.91855392466586,0,20.0
35.2411392523017,-118.91635371966092,0,20.0
35.241185878269285,-118.91563820262051,0,20.0
35.24125312515758,-118.91848718933436,0,20.0
35.24126209990906,-118.91563663691795,0,20.0
35.241286968128804,-118.91815254733635,0,20.0
35.24129472933627,-118.91675520816572,0,20.0
35.241328966821364,-118.91479184577668,0,20.0
35.24133573659494,-118.91563723292772,0,20.0
35.24159439658868,-118.91479456124297,0,20.0
35.241642281164225,-118.9156072485453,0,20.0
35.24169958048583,-118.91598182535215,0,20.0
35.24170790878214,-118.91527625119663,0,20.0
35.24174437721363,-118.91777303881754,0,20.0
35.24177562517985,-118.91577303245491,0,20.0
35.241806172590195,-118.91506121043032,0,20.0
35.24182427916751,-118.91774054117488,0,20.0
35.24195670786292,-118.96185712403025,0,20.0
35.242005174946904,-118.96342291198455,0,20.0
35.24214990673861,-118.91726437515838,0,20.0
35.24232594352394,-118.91760922482604,0,20.0
35.242328449999995,-118.91806595,0,20.0
35.24232857484427,-118.91612301101446,0,20.0
35.242351083896956,-118.91854358742498,0,20.0
35.24235145,-118.91509190000001,0,20.0
35.242492503233684,-118.91611107472214,0,20.0
35.2426357489669,-118.96720407974668,0,20.0
35.24292620000001,-118.96611480000001,0,20.0
35.24313738076815,-118.9621990053049,0,20.0
35.24316191544488,-118.96452353465509,0,20.0
35.24317305027164,-118.91538611669257,0,20.0
35.243467101402075,-118.91557062472954,0,20.0
35.243509952959606,-118.98581853442293,0,20.0
35.24365508819028,-119.0728190150638,0,20.0
35.243743945516705,-119.07381971081101,0,20.0
35.244008485611424,-119.07288848407428,0,20.0
35.24465039330718,-118.9607905714053,0,20.0
35.2448203431883,-118.96372307137129,0,20.0
35.244825535190245,-118.9672546408799,0,20.0
35.244839560953686,-118.96081602517802,0,20.0
35.2453087,-119.00627035000001,0,20.0
35.24535767039914,-118.96553067465598,0,20.0
35.245380816247504,-118.96622470430675,0,20.0
35.24538420098683,-118.96183781973184,0,20.0
35.24544151318765,-118.96362970410222,0,20.0
35.245557574675786,-119.00594079009244,0,20.0
35.245773176655455,-119.00600983801493,0,20.0
35.24669315,-119.0040195,0,20.0
35.24688680641645,-118.96484502433296,0,20.0
35.24693735466635,-118.96505653642252,0,20.0
35.2480262,-118.86575445000001,0,20.0
35.2483632,-118.86227825000002,0,20.0
35.248483107854355,-119.00050583903631,0,20.0
35.248625184889974,-118.9274873935086,0,20.0
35.248810775155945,-118.92745918851651,0,20.0
35.24881401879398,-118.92574708631751,0,20.0
35.248891518569394,-118.92353400103734,0,20.0
35.249073960875904,-118.92526570741886,0,20.0
35.24923555,-118.92730175,0,20.0
35.2493848351954,-118.92742625662301,0,20.0
35.24956950000001,-118.92749530000002,0,20.0
35.24958595,-118.92416525,0,20.0
35.249609515802796,-118.92636908243847,0,20.0
35.249693725223764,-118.96384897525479,0,20.0
35.24975502426727,-118.92413661174429,0,20.0
35.24993224443618,-118.92352782264648,0,20.0
35.24996055,-118.92412005000001,0,20.0
35.250166457265294,-119.00381727858947,0,20.0
35.25017907496104,-118.92685668300885,0,20.0
35.2502671,-118.92742844999998,0,20.0
35.25028636292606,-118.92688121270467,0,20.0
35.250431400000004,-118.92570269999997,0,20.0
